,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male
0,1,0,3,22.0,1,0,7.25,0,1
1,2,1,1,38.0,1,0,71.2833,1,0
2,3,1,3,26.0,0,0,7.925,1,0
3,4,1,1,35.0,1,0,53.1,1,0
4,5,0,3,35.0,0,0,8.05,0,1
5,6,0,3,44.5,0,0,8.4583,0,1
6,7,0,1,54.0,0,0,51.8625,0,1
7,8,0,3,2.0,3,1,21.075,0,1
8,9,1,3,27.0,0,2,11.1333,1,0
9,10,1,2,14.0,1,0,30.0708,1,0
10,11,1,3,4.0,1,1,16.7,1,0
11,12,1,1,58.0,0,0,26.55,1,0
12,13,0,3,20.0,0,0,8.05,0,1
13,14,0,3,39.0,1,5,31.275,0,1
14,15,0,3,14.0,0,0,7.8542,1,0
15,16,1,2,55.0,0,0,16.0,1,0
16,17,0,3,2.0,4,1,29.125,0,1
17,18,1,2,16.5,0,0,13.0,0,1
18,19,0,3,31.0,1,0,18.0,1,0
19,20,1,3,33.0,0,0,7.225,1,0
20,21,0,2,35.0,0,0,26.0,0,1
21,22,1,2,34.0,0,0,13.0,0,1
22,23,1,3,15.0,0,0,8.0292,1,0
23,24,1,1,28.0,0,0,35.5,0,1
24,25,0,3,8.0,3,1,21.075,1,0
25,26,1,3,38.0,1,5,31.3875,1,0
26,27,0,3,28.5,0,0,7.225,0,1
27,28,0,1,19.0,3,2,263.0,0,1
28,29,1,3,26.0,0,0,7.8792,1,0
29,30,0,3,33.0,0,0,7.8958,0,1
30,31,0,1,40.0,0,0,27.7208,0,1
31,32,1,1,48.666666666666664,1,0,146.5208,1,0
32,33,1,3,57.33333333333333,0,0,7.75,1,0
33,34,0,2,66.0,0,0,10.5,0,1
34,35,0,1,28.0,1,0,82.1708,0,1
35,36,0,1,42.0,1,0,52.0,0,1
36,37,1,3,31.5,0,0,7.2292,0,1
37,38,0,3,21.0,0,0,8.05,0,1
38,39,0,3,18.0,2,0,18.0,1,0
39,40,1,3,14.0,1,0,11.2417,1,0
40,41,0,3,40.0,1,0,9.475,1,0
41,42,0,2,27.0,1,0,21.0,1,0
42,43,0,3,15.0,0,0,7.8958,0,1
43,44,1,2,3.0,1,2,41.5792,1,0
44,45,1,3,19.0,0,0,7.8792,1,0
45,46,0,3,18.8,0,0,8.05,0,1
46,47,0,3,18.6,1,0,15.5,0,1
47,48,1,3,18.4,0,0,7.75,1,0
48,49,0,3,18.2,2,0,21.6792,0,1
49,50,0,3,18.0,1,0,17.8,1,0
50,51,0,3,7.0,4,1,39.6875,0,1
51,52,0,3,21.0,0,0,7.8,0,1
52,53,1,1,49.0,1,0,76.7292,1,0
53,54,1,2,29.0,1,0,26.0,1,0
54,55,0,1,65.0,0,1,61.9792,0,1
55,56,1,1,43.0,0,0,35.5,0,1
56,57,1,2,21.0,0,0,10.5,1,0
57,58,0,3,28.5,0,0,7.2292,0,1
58,59,1,2,5.0,1,2,27.75,1,0
59,60,0,3,11.0,5,2,46.9,0,1
60,61,0,3,22.0,0,0,7.2292,0,1
61,62,1,1,38.0,0,0,80.0,1,0
62,63,0,1,45.0,1,0,83.475,0,1
63,64,0,3,4.0,3,2,27.9,0,1
64,65,0,1,12.333333333333334,0,0,27.7208,0,1
65,66,1,3,20.666666666666668,1,1,15.2458,0,1
66,67,1,2,29.0,0,0,10.5,1,0
67,68,0,3,19.0,0,0,8.1583,0,1
68,69,1,3,17.0,4,2,7.925,1,0
69,70,0,3,26.0,2,0,8.6625,0,1
70,71,0,2,32.0,0,0,10.5,0,1
71,72,0,3,16.0,5,2,46.9,1,0
72,73,0,2,21.0,0,0,73.5,0,1
73,74,0,3,26.0,1,0,14.4542,0,1
74,75,1,3,32.0,0,0,56.4958,0,1
75,76,0,3,25.0,0,0,7.65,0,1
76,77,0,3,16.943333333333335,0,0,7.8958,0,1
77,78,0,3,8.886666666666667,0,0,8.05,0,1
78,79,1,2,0.83,0,2,29.0,0,1
79,80,1,3,30.0,0,0,12.475,1,0
80,81,0,3,22.0,0,0,9.0,0,1
81,82,1,3,29.0,0,0,9.5,0,1
82,83,1,3,28.5,0,0,7.7875,1,0
83,84,0,1,28.0,0,0,47.1,0,1
84,85,1,2,17.0,0,0,10.5,1,0
85,86,1,3,33.0,3,0,15.85,1,0
86,87,0,3,16.0,1,3,34.375,0,1
87,88,0,3,19.5,0,0,8.05,0,1
88,89,1,1,23.0,3,2,263.0,1,0
89,90,0,3,24.0,0,0,8.05,0,1
90,91,0,3,29.0,0,0,8.05,0,1
91,92,0,3,20.0,0,0,7.8542,0,1
92,93,0,1,46.0,1,0,61.175,0,1
93,94,0,3,26.0,1,2,20.575,0,1
94,95,0,3,59.0,0,0,7.25,0,1
95,96,0,3,65.0,0,0,8.05,0,1
96,97,0,1,71.0,0,0,34.6542,0,1
97,98,1,1,23.0,0,1,63.3583,0,1
98,99,1,2,34.0,0,1,23.0,1,0
99,100,0,2,34.0,1,0,26.0,0,1
100,101,0,3,28.0,0,0,7.8958,1,0
101,102,0,3,24.5,0,0,7.8958,0,1
102,103,0,1,21.0,0,1,77.2875,0,1
103,104,0,3,33.0,0,0,8.6542,0,1
104,105,0,3,37.0,2,0,7.925,0,1
105,106,0,3,28.0,0,0,7.8958,0,1
106,107,1,3,21.0,0,0,7.65,1,0
107,108,1,3,29.5,0,0,7.775,0,1
108,109,0,3,38.0,0,0,7.8958,0,1
109,110,1,3,42.5,1,0,24.15,1,0
110,111,0,1,47.0,0,0,52.0,0,1
111,112,0,3,14.5,1,0,14.4542,1,0
112,113,0,3,22.0,0,0,8.05,0,1
113,114,0,3,20.0,1,0,9.825,1,0
114,115,0,3,17.0,0,0,14.4583,1,0
115,116,0,3,21.0,0,0,7.925,0,1
116,117,0,3,70.5,0,0,7.75,0,1
117,118,0,2,29.0,1,0,21.0,0,1
118,119,0,1,24.0,0,1,247.5208,0,1
119,120,0,3,2.0,4,2,31.275,1,0
120,121,0,2,21.0,2,0,73.5,0,1
121,122,0,3,26.75,0,0,8.05,0,1
122,123,0,2,32.5,1,0,30.0708,0,1
123,124,1,2,32.5,0,0,13.0,1,0
124,125,0,1,54.0,0,1,77.2875,0,1
125,126,1,3,12.0,1,0,11.2417,0,1
126,127,0,3,18.0,0,0,7.75,0,1
127,128,1,3,24.0,0,0,7.1417,0,1
128,129,1,3,34.5,1,1,22.3583,1,0
129,130,0,3,45.0,0,0,6.975,0,1
130,131,0,3,33.0,0,0,7.8958,0,1
131,132,0,3,20.0,0,0,7.05,0,1
132,133,0,3,47.0,1,0,14.5,1,0
133,134,1,2,29.0,1,0,26.0,1,0
134,135,0,2,25.0,0,0,13.0,0,1
135,136,0,2,23.0,0,0,15.0458,0,1
136,137,1,1,19.0,0,2,26.2833,1,0
137,138,0,1,37.0,1,0,53.1,0,1
138,139,0,3,16.0,0,0,9.2167,0,1
139,140,0,1,24.0,0,0,79.2,0,1
140,141,0,3,23.0,0,2,15.2458,1,0
141,142,1,3,22.0,0,0,7.75,1,0
142,143,1,3,24.0,1,0,15.85,1,0
143,144,0,3,19.0,0,0,6.75,0,1
144,145,0,2,18.0,0,0,11.5,0,1
145,146,0,2,19.0,1,1,36.75,0,1
146,147,1,3,27.0,0,0,7.7958,0,1
147,148,0,3,9.0,2,2,34.375,1,0
148,149,0,2,36.5,0,2,26.0,0,1
149,150,0,2,42.0,0,0,13.0,0,1
150,151,0,2,51.0,0,0,12.525,0,1
151,152,1,1,22.0,1,0,66.6,1,0
152,153,0,3,55.5,0,0,8.05,0,1
153,154,0,3,40.5,0,2,14.5,0,1
154,155,0,3,45.75,0,0,7.3125,0,1
155,156,0,1,51.0,0,1,61.3792,0,1
156,157,1,3,16.0,0,0,7.7333,1,0
157,158,0,3,30.0,0,0,8.05,0,1
158,159,0,3,34.666666666666664,0,0,8.6625,0,1
159,160,0,3,39.333333333333336,8,2,69.55,0,1
160,161,0,3,44.0,0,1,16.1,0,1
161,162,1,2,40.0,0,0,15.75,1,0
162,163,0,3,26.0,0,0,7.775,0,1
163,164,0,3,17.0,0,0,8.6625,0,1
164,165,0,3,1.0,4,1,39.6875,0,1
165,166,1,3,9.0,0,2,20.525,0,1
166,167,1,1,27.0,0,1,55.0,1,0
167,168,0,3,45.0,1,4,27.9,1,0
168,169,0,1,36.5,0,0,25.925,0,1
169,170,0,3,28.0,0,0,56.4958,0,1
170,171,0,1,61.0,0,0,33.5,0,1
171,172,0,3,4.0,4,1,29.125,0,1
172,173,1,3,1.0,1,1,11.1333,1,0
173,174,0,3,21.0,0,0,7.925,0,1
174,175,0,1,56.0,0,0,30.6958,0,1
175,176,0,3,18.0,1,1,7.8542,0,1
176,177,0,3,34.0,3,1,25.4667,0,1
177,178,0,1,50.0,0,0,28.7125,1,0
178,179,0,2,30.0,0,0,13.0,0,1
179,180,0,3,36.0,0,0,0.0,0,1
180,181,0,3,27.0,8,2,69.55,1,0
181,182,0,2,18.0,0,0,15.05,0,1
182,183,0,3,9.0,4,2,31.3875,0,1
183,184,1,2,1.0,2,1,39.0,0,1
184,185,1,3,4.0,0,2,22.025,1,0
185,186,0,1,17.666666666666664,0,0,50.0,0,1
186,187,1,3,31.333333333333332,1,0,15.5,1,0
187,188,1,1,45.0,0,0,26.55,0,1
188,189,0,3,40.0,1,1,15.5,0,1
189,190,0,3,36.0,0,0,7.8958,0,1
190,191,1,2,32.0,0,0,13.0,1,0
191,192,0,2,19.0,0,0,13.0,0,1
192,193,1,3,19.0,1,0,7.8542,1,0
193,194,1,2,3.0,1,1,26.0,0,1
194,195,1,1,44.0,0,0,27.7208,1,0
195,196,1,1,58.0,0,0,146.5208,1,0
196,197,0,3,50.0,0,0,7.75,0,1
197,198,0,3,42.0,0,1,8.4042,0,1
198,199,1,3,33.0,0,0,7.75,1,0
199,200,0,2,24.0,0,0,13.0,1,0
200,201,0,3,28.0,0,0,9.5,0,1
201,202,0,3,31.0,8,2,69.55,0,1
202,203,0,3,34.0,0,0,6.4958,0,1
203,204,0,3,45.5,0,0,7.225,0,1
204,205,1,3,18.0,0,0,8.05,0,1
205,206,0,3,2.0,0,1,10.4625,1,0
206,207,0,3,32.0,1,0,15.85,0,1
207,208,1,3,26.0,0,0,18.7875,0,1
208,209,1,3,16.0,0,0,7.75,1,0
209,210,1,1,40.0,0,0,31.0,0,1
210,211,0,3,24.0,0,0,7.05,0,1
211,212,1,2,35.0,0,0,21.0,1,0
212,213,0,3,22.0,0,0,7.25,0,1
213,214,0,2,30.0,0,0,13.0,0,1
214,215,0,3,30.5,1,0,7.75,0,1
215,216,1,1,31.0,1,0,113.275,1,0
216,217,1,3,27.0,0,0,7.925,1,0
217,218,0,2,42.0,1,0,27.0,0,1
218,219,1,1,32.0,0,0,76.2917,1,0
219,220,0,2,30.0,0,0,10.5,0,1
220,221,1,3,16.0,0,0,8.05,0,1
221,222,0,2,27.0,0,0,13.0,0,1
222,223,0,3,51.0,0,0,8.05,0,1
223,224,0,3,44.5,0,0,7.8958,0,1
224,225,1,1,38.0,1,0,90.0,0,1
225,226,0,3,22.0,0,0,9.35,0,1
226,227,1,2,19.0,0,0,10.5,0,1
227,228,0,3,20.5,0,0,7.25,0,1
228,229,0,2,18.0,0,0,13.0,0,1
229,230,0,3,26.5,3,1,25.4667,1,0
230,231,1,1,35.0,1,0,83.475,1,0
231,232,0,3,29.0,0,0,7.775,0,1
232,233,0,2,59.0,0,0,13.5,0,1
233,234,1,3,5.0,4,2,31.3875,1,0
234,235,0,2,24.0,0,0,10.5,0,1
235,236,0,3,34.0,0,0,7.55,1,0
236,237,0,2,44.0,1,0,26.0,0,1
237,238,1,2,8.0,0,2,26.25,1,0
238,239,0,2,19.0,0,0,10.5,0,1
239,240,0,2,33.0,0,0,12.275,0,1
240,241,0,3,31.666666666666668,1,0,14.4542,1,0
241,242,1,3,30.333333333333332,1,0,15.5,1,0
242,243,0,2,29.0,0,0,10.5,0,1
243,244,0,3,22.0,0,0,7.125,0,1
244,245,0,3,30.0,0,0,7.225,0,1
245,246,0,1,44.0,2,0,90.0,0,1
246,247,0,3,25.0,0,0,7.775,1,0
247,248,1,2,24.0,0,2,14.5,1,0
248,249,1,1,37.0,1,1,52.5542,0,1
