,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,2382,26,management,single,tertiary,no,122,no,yes,cellular,8,jul,160,1,-1,0,unknown,0
1,618,30,technician,married,tertiary,no,1570,yes,no,cellular,26,may,260,1,-1,0,unknown,0
2,4347,32,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,159,2,195,2,failure,0
3,1702,51,retired,divorced,secondary,no,343,yes,no,unknown,30,may,78,2,-1,0,unknown,0
4,3298,27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,364,1,other,0
5,397,37,technician,single,tertiary,no,6101,no,no,cellular,4,may,60,5,87,1,success,0
6,2466,42,self-employed,married,secondary,no,5564,no,no,cellular,17,nov,560,2,-1,0,unknown,0
7,1161,29,unemployed,single,tertiary,no,991,no,no,cellular,5,feb,563,1,-1,0,unknown,0
8,1585,42,blue-collar,married,secondary,no,5639,yes,no,cellular,17,jul,430,2,-1,0,unknown,0
9,664,46,blue-collar,single,secondary,no,324,yes,no,unknown,30,may,293,6,-1,0,unknown,0
10,2553,33,management,married,tertiary,no,1064,yes,no,cellular,13,may,562,1,-1,0,unknown,1
11,710,46,blue-collar,married,primary,no,67,no,no,unknown,24,jun,9,1,-1,0,unknown,0
12,2606,48,technician,married,unknown,no,5543,no,no,unknown,16,jun,143,5,-1,0,unknown,0
13,2886,43,blue-collar,divorced,primary,no,92,yes,no,unknown,15,may,237,2,-1,0,unknown,0
14,1418,38,services,single,secondary,no,2253,yes,no,cellular,13,may,937,3,-1,0,unknown,1
15,4178,48,blue-collar,married,secondary,no,865,yes,no,cellular,13,may,78,2,-1,0,unknown,0
16,4176,32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,-1,0,unknown,1
17,234,30,student,single,secondary,no,3096,no,no,cellular,26,jan,123,1,-1,0,unknown,0
18,2670,46,admin.,married,secondary,no,0,yes,yes,cellular,20,apr,239,2,259,2,failure,0
19,878,31,self-employed,single,secondary,no,203,no,yes,cellular,19,nov,177,1,-1,0,unknown,0
20,2625,42,blue-collar,married,primary,no,2111,yes,no,cellular,7,may,86,2,-1,0,unknown,0
21,3579,44,management,divorced,tertiary,no,0,no,no,cellular,10,aug,71,1,-1,0,unknown,0
22,2802,34,blue-collar,married,secondary,no,516,yes,yes,unknown,2,jun,26,1,-1,0,unknown,0
23,1523,34,technician,single,secondary,no,2178,yes,no,cellular,26,may,41,1,-1,0,unknown,0
24,519,61,retired,married,secondary,no,5207,no,no,cellular,11,sep,336,1,81,2,other,0
25,1462,33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205,3,-1,0,unknown,0
26,2169,29,entrepreneur,single,secondary,no,404,no,no,cellular,30,jan,413,3,-1,0,unknown,0
27,4007,34,entrepreneur,married,tertiary,no,105,yes,no,unknown,28,may,249,2,-1,0,unknown,0
28,3528,46,management,divorced,tertiary,no,225,yes,no,cellular,14,may,201,1,345,1,other,0
29,480,37,management,single,unknown,no,715,yes,no,unknown,20,may,247,2,-1,0,unknown,0
30,2408,46,blue-collar,married,secondary,no,0,yes,no,cellular,8,may,264,2,-1,0,unknown,0
31,1834,57,management,married,tertiary,no,0,yes,no,cellular,21,nov,67,1,-1,0,unknown,0
32,543,48,blue-collar,married,secondary,no,157,yes,no,unknown,6,may,73,1,-1,0,unknown,0
33,1362,47,services,married,secondary,no,2597,yes,no,unknown,16,may,323,1,-1,0,unknown,0
34,570,46,entrepreneur,married,unknown,no,242,yes,no,unknown,9,may,332,2,-1,0,unknown,0
35,4166,42,technician,single,unknown,no,344,yes,no,unknown,3,jun,26,7,-1,0,unknown,0
36,4447,49,blue-collar,single,primary,no,2146,yes,no,cellular,7,may,1516,2,353,2,other,1
37,861,48,management,married,tertiary,no,866,no,no,cellular,29,jan,146,2,-1,0,unknown,0
38,4512,40,blue-collar,married,secondary,no,1100,yes,no,unknown,29,may,660,2,-1,0,unknown,0
39,146,56,retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,0
40,3930,51,retired,divorced,secondary,no,1679,no,no,cellular,12,aug,417,1,365,9,other,1
41,1944,48,blue-collar,married,secondary,no,333,yes,no,cellular,14,may,24,6,-1,0,unknown,0
42,3819,46,technician,divorced,secondary,no,-824,yes,no,cellular,7,aug,429,3,-1,0,unknown,1
43,3059,56,housemaid,married,primary,no,306,no,yes,cellular,8,jul,212,1,-1,0,unknown,0
44,1871,34,services,divorced,secondary,no,991,yes,no,cellular,6,may,89,1,344,1,failure,0
45,4223,32,blue-collar,divorced,secondary,no,0,yes,no,unknown,2,jun,746,2,-1,0,unknown,0
46,698,36,blue-collar,single,secondary,no,340,no,yes,unknown,16,jun,559,3,-1,0,unknown,0
47,4140,54,self-employed,divorced,primary,no,4382,yes,no,telephone,18,may,193,4,-1,0,unknown,0
48,2343,38,management,married,tertiary,no,223,no,no,cellular,28,jan,63,1,-1,0,unknown,0
49,105,32,management,single,tertiary,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,0
50,2303,43,admin.,married,unknown,no,3485,no,no,unknown,18,jun,113,1,-1,0,unknown,0
51,3902,55,blue-collar,married,secondary,no,1011,yes,no,cellular,12,aug,112,2,-1,0,unknown,0
52,2804,28,admin.,single,secondary,no,775,no,no,cellular,29,jan,603,2,-1,0,unknown,0
53,3540,58,retired,married,primary,no,565,no,no,telephone,7,jul,876,1,-1,0,unknown,1
54,1043,41,blue-collar,married,secondary,no,780,yes,no,cellular,15,may,432,3,-1,0,unknown,0
55,1534,54,management,divorced,tertiary,no,2171,yes,yes,telephone,18,nov,1034,1,-1,0,unknown,1
56,2999,40,management,married,tertiary,no,294,yes,no,cellular,23,jul,97,5,-1,0,unknown,0
57,2288,50,technician,married,secondary,no,1412,no,no,cellular,6,aug,131,3,-1,0,unknown,0
58,3263,35,management,married,tertiary,no,24,yes,no,cellular,8,apr,169,1,231,2,failure,0
59,3770,46,management,single,tertiary,no,334,yes,no,telephone,4,may,36,6,90,2,other,0
60,3173,33,technician,single,tertiary,no,137,no,no,cellular,25,aug,88,4,-1,0,unknown,0
61,122,32,technician,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,0
62,1414,36,blue-collar,divorced,secondary,no,-140,yes,no,unknown,26,may,222,2,-1,0,unknown,0
63,3088,31,technician,single,secondary,no,2544,no,no,cellular,15,jul,252,1,184,3,success,1
64,1649,37,services,single,secondary,no,608,no,no,cellular,14,may,380,3,-1,0,unknown,0
65,1369,65,retired,divorced,unknown,no,300,no,no,cellular,2,aug,245,2,-1,0,unknown,0
66,3060,52,admin.,married,secondary,no,0,no,no,cellular,22,apr,91,2,275,1,failure,0
67,2428,28,services,single,secondary,no,229,yes,no,unknown,9,may,322,1,-1,0,unknown,0
68,235,48,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,145,3,-1,0,unknown,0
69,2142,31,services,single,secondary,no,864,yes,no,cellular,6,may,100,1,-1,0,unknown,0
70,3820,28,management,single,tertiary,no,5549,no,no,cellular,28,jul,383,6,-1,0,unknown,0
71,4373,28,blue-collar,married,secondary,no,225,yes,yes,unknown,7,may,866,2,-1,0,unknown,0
72,3190,39,services,married,secondary,no,186,yes,no,cellular,17,apr,433,1,-1,0,unknown,0
73,4328,49,admin.,married,secondary,no,3608,yes,no,unknown,13,nov,231,1,-1,0,unknown,1
74,4126,33,services,single,secondary,no,358,yes,no,cellular,7,may,302,1,356,3,failure,0
75,2185,40,services,married,secondary,no,1438,yes,no,cellular,6,may,207,1,351,2,failure,0
76,430,53,management,married,primary,no,995,no,no,cellular,4,feb,200,3,-1,0,unknown,0
77,1882,34,technician,single,secondary,no,440,yes,no,cellular,6,may,445,2,345,2,failure,0
78,4340,47,blue-collar,married,secondary,no,2548,yes,no,cellular,11,may,577,1,368,1,other,0
79,3464,33,self-employed,single,secondary,no,238,yes,yes,cellular,5,feb,45,5,-1,0,unknown,0
80,2805,35,unknown,married,primary,no,634,no,no,cellular,7,jul,185,2,-1,0,unknown,0
81,2423,37,entrepreneur,single,secondary,no,654,no,no,unknown,19,may,594,2,-1,0,unknown,0
82,2721,31,blue-collar,single,primary,no,-280,no,no,unknown,21,may,281,3,-1,0,unknown,0
83,1659,34,services,single,secondary,no,84,yes,no,unknown,23,may,299,1,-1,0,unknown,0
84,1841,41,technician,single,secondary,no,1680,yes,no,unknown,2,jun,76,2,-1,0,unknown,0
85,3610,36,technician,divorced,secondary,no,-435,yes,no,unknown,2,jun,85,8,-1,0,unknown,0
86,4395,49,blue-collar,married,secondary,no,1568,no,no,unknown,21,may,206,6,-1,0,unknown,0
87,3312,37,management,divorced,secondary,no,1287,yes,no,cellular,14,may,432,1,-1,0,unknown,0
88,2260,47,services,divorced,secondary,no,691,no,no,cellular,6,feb,285,6,-1,0,unknown,0
89,3507,36,blue-collar,married,secondary,no,198,yes,no,unknown,9,may,400,2,-1,0,unknown,0
90,3434,29,management,single,tertiary,no,21,yes,no,cellular,14,may,107,4,371,3,failure,0
91,3366,52,unknown,married,primary,no,247,no,no,cellular,29,jul,268,6,-1,0,unknown,0
92,59,54,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,0
93,868,35,technician,married,secondary,no,141,yes,no,cellular,19,aug,299,2,-1,0,unknown,0
94,89,34,blue-collar,married,secondary,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,0
95,2081,48,unknown,married,unknown,no,286,no,no,cellular,30,jul,166,2,-1,0,unknown,0
96,4206,40,student,married,secondary,no,260,no,no,cellular,19,nov,52,1,152,6,failure,0
97,3633,36,technician,married,tertiary,no,629,yes,yes,cellular,29,dec,109,1,246,1,failure,0
98,47,26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,0
99,1802,30,services,single,secondary,no,432,yes,no,unknown,20,may,340,3,-1,0,unknown,0
100,4498,31,management,married,tertiary,no,1183,yes,no,unknown,27,may,676,6,-1,0,unknown,0
101,1356,30,management,single,tertiary,no,604,no,yes,cellular,2,feb,475,1,-1,0,unknown,0
102,1891,32,management,single,tertiary,no,656,yes,yes,cellular,20,apr,148,2,-1,0,unknown,0
103,937,33,blue-collar,married,secondary,no,86,yes,no,unknown,19,may,364,1,-1,0,unknown,0
104,3855,47,technician,married,secondary,no,-9,no,no,cellular,14,aug,457,2,-1,0,unknown,0
105,3051,48,management,married,tertiary,no,0,no,no,cellular,28,aug,16,16,-1,0,unknown,0
106,4451,55,management,married,tertiary,no,6880,no,no,cellular,8,aug,353,2,-1,0,unknown,0
107,2647,52,management,married,tertiary,no,575,no,no,unknown,3,jun,315,1,-1,0,unknown,0
108,4359,46,housemaid,single,tertiary,no,3232,no,no,telephone,15,jun,94,2,-1,0,unknown,0
109,3503,27,services,single,secondary,no,266,no,yes,cellular,7,jul,232,1,-1,0,unknown,0
110,3867,58,management,married,tertiary,no,172,no,no,cellular,19,aug,145,7,-1,0,unknown,0
111,2516,30,management,married,tertiary,no,1882,yes,no,cellular,11,aug,249,5,-1,0,unknown,0
112,17,37,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,0
113,310,49,blue-collar,married,secondary,no,8545,yes,yes,cellular,6,may,199,7,167,1,failure,0
114,1293,46,management,divorced,tertiary,no,743,no,no,unknown,5,jun,36,2,-1,0,unknown,0
115,4286,39,admin.,married,tertiary,no,722,no,no,telephone,23,apr,141,1,-1,0,unknown,0
116,3130,57,unemployed,married,secondary,no,0,no,no,unknown,19,jun,97,1,-1,0,unknown,0
117,2127,32,technician,divorced,tertiary,no,267,no,no,cellular,26,may,128,1,-1,0,unknown,0
118,2031,33,management,married,tertiary,no,4,yes,no,cellular,16,jul,285,5,-1,0,unknown,0
119,641,56,unknown,married,unknown,no,0,no,no,unknown,20,jun,471,2,-1,0,unknown,0
120,1545,56,admin.,married,secondary,no,0,yes,no,telephone,19,nov,154,2,-1,0,unknown,0
121,4095,35,technician,married,secondary,no,0,no,no,cellular,14,jul,125,2,-1,0,unknown,0
122,1479,31,blue-collar,married,primary,no,620,no,no,cellular,30,mar,95,1,-1,0,unknown,0
123,4085,35,management,married,tertiary,no,0,yes,no,cellular,21,jul,295,3,-1,0,unknown,0
124,685,46,services,married,secondary,no,1550,yes,no,cellular,16,apr,126,2,149,8,failure,0
125,1639,27,entrepreneur,single,secondary,no,376,yes,yes,cellular,5,may,273,1,-1,0,unknown,0
126,1143,57,housemaid,married,primary,no,501,yes,yes,cellular,7,aug,59,2,-1,0,unknown,0
127,3980,45,blue-collar,married,secondary,no,784,yes,yes,unknown,3,jun,34,1,-1,0,unknown,0
128,434,56,management,married,tertiary,no,217,no,yes,cellular,21,jul,121,2,-1,0,unknown,0
129,2845,44,management,married,tertiary,no,1058,no,no,cellular,11,mar,188,3,-1,0,unknown,1
130,3846,49,admin.,married,secondary,no,381,no,no,cellular,5,aug,504,2,-1,0,unknown,0
131,2412,58,housemaid,married,primary,no,419,no,yes,unknown,5,jun,295,3,-1,0,unknown,0
132,3937,53,housemaid,married,primary,no,2581,no,no,cellular,15,apr,99,1,-1,0,unknown,0
133,2184,32,management,married,tertiary,no,3107,yes,yes,cellular,25,jul,310,1,-1,0,unknown,0
134,3226,34,management,married,tertiary,no,1518,yes,no,cellular,20,nov,128,2,-1,0,unknown,0
135,2406,36,services,married,secondary,no,3064,yes,no,telephone,11,may,1143,4,-1,0,unknown,0
136,3670,33,blue-collar,single,primary,no,92,yes,no,unknown,9,may,127,1,-1,0,unknown,0
137,2764,42,blue-collar,married,secondary,no,2157,yes,no,cellular,13,may,149,1,364,2,failure,0
138,2419,41,blue-collar,single,secondary,yes,-386,no,yes,cellular,20,nov,477,1,-1,0,unknown,1
