PASSENGERID,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male
1,0,3,22.0,1,0,7.25,0,1
2,1,1,38.0,1,0,71.2833,1,0
3,1,3,26.0,0,0,7.925,1,0
4,1,1,35.0,1,0,53.1,1,0
5,0,3,35.0,0,0,8.05,0,1
6,0,3,44.5,0,0,8.4583,0,1
7,0,1,54.0,0,0,51.8625,0,1
8,0,3,2.0,3,1,21.075,0,1
9,1,3,27.0,0,2,11.1333,1,0
10,1,2,14.0,1,0,30.0708,1,0
11,1,3,4.0,1,1,16.7,1,0
12,1,1,58.0,0,0,26.55,1,0
13,0,3,20.0,0,0,8.05,0,1
14,0,3,39.0,1,5,31.275,0,1
15,0,3,14.0,0,0,7.8542,1,0
16,1,2,55.0,0,0,16.0,1,0
17,0,3,2.0,4,1,29.125,0,1
18,1,2,16.5,0,0,13.0,0,1
19,0,3,31.0,1,0,18.0,1,0
20,1,3,33.0,0,0,7.225,1,0
21,0,2,35.0,0,0,26.0,0,1
22,1,2,34.0,0,0,13.0,0,1
23,1,3,15.0,0,0,8.0292,1,0
24,1,1,28.0,0,0,35.5,0,1
25,0,3,8.0,3,1,21.075,1,0
26,1,3,38.0,1,5,31.3875,1,0
27,0,3,28.5,0,0,7.225,0,1
28,0,1,19.0,3,2,263.0,0,1
29,1,3,26.0,0,0,7.8792,1,0
30,0,3,33.0,0,0,7.8958,0,1
31,0,1,40.0,0,0,27.7208,0,1
32,1,1,48.666666666666664,1,0,146.5208,1,0
33,1,3,57.33333333333333,0,0,7.75,1,0
34,0,2,66.0,0,0,10.5,0,1
35,0,1,28.0,1,0,82.1708,0,1
36,0,1,42.0,1,0,52.0,0,1
37,1,3,31.5,0,0,7.2292,0,1
38,0,3,21.0,0,0,8.05,0,1
39,0,3,18.0,2,0,18.0,1,0
40,1,3,14.0,1,0,11.2417,1,0
41,0,3,40.0,1,0,9.475,1,0
42,0,2,27.0,1,0,21.0,1,0
43,0,3,15.0,0,0,7.8958,0,1
44,1,2,3.0,1,2,41.5792,1,0
45,1,3,19.0,0,0,7.8792,1,0
46,0,3,18.8,0,0,8.05,0,1
47,0,3,18.6,1,0,15.5,0,1
48,1,3,18.4,0,0,7.75,1,0
49,0,3,18.2,2,0,21.6792,0,1
50,0,3,18.0,1,0,17.8,1,0
51,0,3,7.0,4,1,39.6875,0,1
52,0,3,21.0,0,0,7.8,0,1
53,1,1,49.0,1,0,76.7292,1,0
