ID,Все 18+_TVR,Канал_ПЕРВЫЙ КАНАЛ,Канал_РЕН ТВ,Канал_РОССИЯ 1,Канал_СТС,Канал_ТНТ,day,year,month,hour,holidays
0,0.21,1,0,0,0,0,1,2018,11,5,1
1,0.71,1,0,0,0,0,1,2018,11,6,1
2,1.1,1,0,0,0,0,1,2018,11,7,1
3,0.96,1,0,0,0,0,1,2018,11,8,1
4,1.94,1,0,0,0,0,1,2018,11,9,1
5,1.44,1,0,0,0,0,1,2018,11,10,1
6,2.13,1,0,0,0,0,1,2018,11,11,1
7,2.15,1,0,0,0,0,1,2018,11,12,1
8,1.59,1,0,0,0,0,1,2018,11,13,1
9,1.8,1,0,0,0,0,1,2018,11,14,1
10,1.51,1,0,0,0,0,1,2018,11,15,1
11,1.8,1,0,0,0,0,1,2018,11,16,1
12,2.66,1,0,0,0,0,1,2018,11,17,1
13,3.86,1,0,0,0,0,1,2018,11,18,1
14,4.01,1,0,0,0,0,1,2018,11,19,1
15,3.27,1,0,0,0,0,1,2018,11,20,1
16,4.7,1,0,0,0,0,1,2018,11,21,1
17,3.26,1,0,0,0,0,1,2018,11,22,1
18,1.93,1,0,0,0,0,1,2018,11,23,1
19,0.29,0,0,1,0,0,1,2018,11,5,1
20,1.64,0,0,1,0,0,1,2018,11,6,1
21,1.54,0,0,1,0,0,1,2018,11,7,1
22,1.64,0,0,1,0,0,1,2018,11,8,1
23,1.49,0,0,1,0,0,1,2018,11,9,1
24,2.41,0,0,1,0,0,1,2018,11,10,1
25,2.31,0,0,1,0,0,1,2018,11,11,1
26,1.69,0,0,1,0,0,1,2018,11,12,1
27,2.13,0,0,1,0,0,1,2018,11,13,1
28,1.5,0,0,1,0,0,1,2018,11,14,1
29,0.94,0,0,1,0,0,1,2018,11,15,1
30,1.47,0,0,1,0,0,1,2018,11,16,1
31,1.92,0,0,1,0,0,1,2018,11,17,1
32,3.4,0,0,1,0,0,1,2018,11,18,1
33,4.33,0,0,1,0,0,1,2018,11,19,1
34,6.24,0,0,1,0,0,1,2018,11,20,1
35,4.08,0,0,1,0,0,1,2018,11,21,1
36,4.13,0,0,1,0,0,1,2018,11,22,1
37,3.96,0,0,1,0,0,1,2018,11,23,1
38,0.0,0,0,0,1,0,1,2018,11,5,1
39,0.05,0,0,0,1,0,1,2018,11,6,1
40,0.05,0,0,0,1,0,1,2018,11,7,1
41,0.06,0,0,0,1,0,1,2018,11,8,1
42,0.29,0,0,0,1,0,1,2018,11,9,1
43,0.21,0,0,0,1,0,1,2018,11,10,1
44,0.26,0,0,0,1,0,1,2018,11,11,1
45,0.61,0,0,0,1,0,1,2018,11,12,1
46,0.86,0,0,0,1,0,1,2018,11,13,1
47,0.39,0,0,0,1,0,1,2018,11,14,1
48,0.39,0,0,0,1,0,1,2018,11,15,1
49,0.31,0,0,0,1,0,1,2018,11,16,1
50,0.48,0,0,0,1,0,1,2018,11,17,1
51,0.38,0,0,0,1,0,1,2018,11,18,1
52,0.25,0,0,0,1,0,1,2018,11,19,1
53,0.97,0,0,0,1,0,1,2018,11,20,1
54,2.58,0,0,0,1,0,1,2018,11,21,1
55,3.87,0,0,0,1,0,1,2018,11,22,1
56,3.36,0,0,0,1,0,1,2018,11,23,1
57,0.4,0,1,0,0,0,1,2018,11,5,1
58,0.44,0,1,0,0,0,1,2018,11,6,1
59,0.1,0,1,0,0,0,1,2018,11,7,1
60,0.49,0,1,0,0,0,1,2018,11,8,1
61,0.57,0,1,0,0,0,1,2018,11,9,1
62,0.36,0,1,0,0,0,1,2018,11,10,1
63,0.72,0,1,0,0,0,1,2018,11,11,1
64,0.82,0,1,0,0,0,1,2018,11,12,1
65,1.22,0,1,0,0,0,1,2018,11,13,1
66,0.89,0,1,0,0,0,1,2018,11,14,1
67,0.25,0,1,0,0,0,1,2018,11,15,1
68,0.44,0,1,0,0,0,1,2018,11,16,1
69,1.99,0,1,0,0,0,1,2018,11,17,1
70,2.63,0,1,0,0,0,1,2018,11,18,1
71,1.44,0,1,0,0,0,1,2018,11,19,1
72,0.7,0,1,0,0,0,1,2018,11,20,1
73,0.94,0,1,0,0,0,1,2018,11,21,1
74,1.1,0,1,0,0,0,1,2018,11,22,1
75,1.21,0,1,0,0,0,1,2018,11,23,1
76,0.09,0,0,0,0,1,1,2018,11,5,1
77,0.13,0,0,0,0,1,1,2018,11,6,1
78,0.25,0,0,0,0,1,1,2018,11,7,1
79,0.35,0,0,0,0,1,1,2018,11,8,1
80,0.42,0,0,0,0,1,1,2018,11,9,1
81,0.79,0,0,0,0,1,1,2018,11,10,1
82,1.13,0,0,0,0,1,1,2018,11,11,1
83,0.65,0,0,0,0,1,1,2018,11,12,1
84,0.47,0,0,0,0,1,1,2018,11,13,1
85,0.33,0,0,0,0,1,1,2018,11,14,1
86,0.45,0,0,0,0,1,1,2018,11,15,1
87,0.54,0,0,0,0,1,1,2018,11,16,1
88,0.75,0,0,0,0,1,1,2018,11,17,1
89,0.9,0,0,0,0,1,1,2018,11,18,1
90,0.98,0,0,0,0,1,1,2018,11,19,1
91,1.35,0,0,0,0,1,1,2018,11,20,1
92,1.25,0,0,0,0,1,1,2018,11,21,1
93,1.06,0,0,0,0,1,1,2018,11,22,1
94,0.74,0,0,0,0,1,1,2018,11,23,1
95,2.11,1,0,0,0,0,3,2018,11,0,1
96,0.85,1,0,0,0,0,3,2018,11,1,1
97,0.18,1,0,0,0,0,3,2018,11,2,1
98,0.14,1,0,0,0,0,3,2018,11,3,1
99,0.3,1,0,0,0,0,3,2018,11,4,1
100,4.04,0,0,1,0,0,3,2018,11,0,1
101,1.82,0,0,1,0,0,3,2018,11,1,1
102,0.71,0,0,1,0,0,3,2018,11,2,1
103,0.56,0,0,1,0,0,3,2018,11,3,1
104,0.36,0,0,1,0,0,3,2018,11,4,1
105,0.93,0,0,0,1,0,3,2018,11,0,1
106,0.54,0,0,0,1,0,3,2018,11,1,1
107,0.25,0,0,0,1,0,3,2018,11,2,1
108,0.16,0,0,0,1,0,3,2018,11,3,1
109,0.09,0,0,0,1,0,3,2018,11,4,1
110,1.18,0,1,0,0,0,3,2018,11,0,1
111,1.49,0,1,0,0,0,3,2018,11,1,1
112,0.59,0,1,0,0,0,3,2018,11,2,1
113,0.45,0,1,0,0,0,3,2018,11,3,1
114,0.58,0,1,0,0,0,3,2018,11,4,1
115,0.78,0,0,0,0,1,3,2018,11,0,1
116,0.18,0,0,0,0,1,3,2018,11,1,1
117,0.19,0,0,0,0,1,3,2018,11,2,1
118,0.14,0,0,0,0,1,3,2018,11,3,1
119,0.09,0,0,0,0,1,3,2018,11,4,1
120,0.03,1,0,0,0,0,3,2018,11,5,1
121,0.12,1,0,0,0,0,3,2018,11,6,1
122,0.13,1,0,0,0,0,3,2018,11,7,1
123,0.7,1,0,0,0,0,3,2018,11,8,1
124,0.81,1,0,0,0,0,3,2018,11,9,1
125,1.78,1,0,0,0,0,3,2018,11,10,1
126,2.41,1,0,0,0,0,3,2018,11,11,1
127,2.23,1,0,0,0,0,3,2018,11,12,1
128,1.67,1,0,0,0,0,3,2018,11,13,1
129,1.17,1,0,0,0,0,3,2018,11,14,1
130,1.11,1,0,0,0,0,3,2018,11,15,1
131,2.01,1,0,0,0,0,3,2018,11,16,1
132,3.53,1,0,0,0,0,3,2018,11,17,1
133,3.04,1,0,0,0,0,3,2018,11,18,1
134,2.57,1,0,0,0,0,3,2018,11,19,1
135,3.44,1,0,0,0,0,3,2018,11,20,1
136,3.53,1,0,0,0,0,3,2018,11,21,1
137,3.17,1,0,0,0,0,3,2018,11,22,1
138,3.69,1,0,0,0,0,3,2018,11,23,1
139,2.79,1,0,0,0,0,4,2018,11,0,1
140,0.65,1,0,0,0,0,4,2018,11,1,1
141,0.09,1,0,0,0,0,4,2018,11,2,1
142,0.05,1,0,0,0,0,4,2018,11,3,1
143,0.14,1,0,0,0,0,4,2018,11,4,1
144,0.25,0,0,1,0,0,3,2018,11,5,1
145,0.26,0,0,1,0,0,3,2018,11,6,1
146,0.78,0,0,1,0,0,3,2018,11,7,1
147,1.71,0,0,1,0,0,3,2018,11,8,1
148,2.47,0,0,1,0,0,3,2018,11,9,1
149,3.13,0,0,1,0,0,3,2018,11,10,1
150,2.53,0,0,1,0,0,3,2018,11,11,1
151,1.96,0,0,1,0,0,3,2018,11,12,1
152,1.95,0,0,1,0,0,3,2018,11,13,1
153,2.4,0,0,1,0,0,3,2018,11,14,1
154,1.45,0,0,1,0,0,3,2018,11,15,1
155,1.48,0,0,1,0,0,3,2018,11,16,1
156,1.66,0,0,1,0,0,3,2018,11,17,1
157,2.53,0,0,1,0,0,3,2018,11,18,1
158,2.36,0,0,1,0,0,3,2018,11,19,1
159,3.16,0,0,1,0,0,3,2018,11,20,1
160,2.92,0,0,1,0,0,3,2018,11,21,1
161,2.66,0,0,1,0,0,3,2018,11,22,1
162,2.94,0,0,1,0,0,3,2018,11,23,1
163,3.91,0,0,1,0,0,4,2018,11,0,1
164,3.32,0,0,1,0,0,4,2018,11,1,1
165,1.75,0,0,1,0,0,4,2018,11,2,1
166,1.14,0,0,1,0,0,4,2018,11,3,1
167,0.47,0,0,1,0,0,4,2018,11,4,1
168,0.19,0,0,0,1,0,3,2018,11,5,1
169,0.2,0,0,0,1,0,3,2018,11,6,1
170,0.05,0,0,0,1,0,3,2018,11,7,1
171,0.17,0,0,0,1,0,3,2018,11,8,1
172,0.42,0,0,0,1,0,3,2018,11,9,1
173,0.35,0,0,0,1,0,3,2018,11,10,1
174,0.5,0,0,0,1,0,3,2018,11,11,1
175,1.13,0,0,0,1,0,3,2018,11,12,1
176,0.77,0,0,0,1,0,3,2018,11,13,1
177,0.53,0,0,0,1,0,3,2018,11,14,1
178,0.83,0,0,0,1,0,3,2018,11,15,1
179,1.23,0,0,0,1,0,3,2018,11,16,1
180,1.23,0,0,0,1,0,3,2018,11,17,1
