,ID,sepal_length,sepal_width,petal_length,petal_width,species
0,30,4.8,3.1,1.6,0.2,setosa
1,31,5.4,3.4,1.5,0.4,setosa
2,32,5.2,4.1,1.5,0.1,setosa
3,33,5.5,4.2,1.4,0.2,setosa
4,34,4.9,3.1,1.5,0.1,setosa
5,35,5.0,3.2,1.2,0.2,setosa
6,36,5.5,3.5,1.3,0.2,setosa
7,37,4.9,3.1,1.5,0.1,setosa
8,38,4.4,3.0,1.3,0.2,setosa
9,39,5.1,3.4,1.5,0.2,setosa
10,40,5.0,3.5,1.3,0.3,setosa
11,41,4.5,2.3,1.3,0.3,setosa
12,42,4.4,3.2,1.3,0.2,setosa
13,43,5.0,3.5,1.6,0.6,setosa
14,44,5.1,3.8,1.9,0.4,setosa
15,45,4.8,3.0,1.4,0.3,setosa
16,46,5.1,3.8,1.6,0.2,setosa
17,47,4.6,3.2,1.4,0.2,setosa
18,48,5.3,3.7,1.5,0.2,setosa
19,49,5.0,3.3,1.4,0.2,setosa
20,50,7.0,3.2,4.7,1.4,versicolor
21,51,6.4,3.2,4.5,1.5,versicolor
22,52,6.9,3.1,4.9,1.5,versicolor
23,53,5.5,2.3,4.0,1.3,versicolor
24,54,6.5,2.8,4.6,1.5,versicolor
25,55,5.7,2.8,4.5,1.3,versicolor
26,56,6.3,3.3,4.7,1.6,versicolor
27,57,4.9,2.4,3.3,1.0,versicolor
28,58,6.6,2.9,4.6,1.3,versicolor
29,59,5.2,2.7,3.9,1.4,versicolor
30,60,5.0,2.0,3.5,1.0,versicolor
31,61,5.9,3.0,4.2,1.5,versicolor
32,62,6.0,2.2,4.0,1.0,versicolor
33,63,6.1,2.9,4.7,1.4,versicolor
34,64,5.6,2.9,3.6,1.3,versicolor
35,65,6.7,3.1,4.4,1.4,versicolor
36,66,5.6,3.0,4.5,1.5,versicolor
37,67,5.8,2.7,4.1,1.0,versicolor
38,68,6.2,2.2,4.5,1.5,versicolor
39,69,5.6,2.5,3.9,1.1,versicolor
40,70,5.9,3.2,4.8,1.8,versicolor
41,71,6.1,2.8,4.0,1.3,versicolor
42,72,6.3,2.5,4.9,1.5,versicolor
43,73,6.1,2.8,4.7,1.2,versicolor
44,74,6.4,2.9,4.3,1.3,versicolor
45,75,6.6,3.0,4.4,1.4,versicolor
46,76,6.8,2.8,4.8,1.4,versicolor
47,77,6.7,3.0,5.0,1.7,versicolor
48,78,6.0,2.9,4.5,1.5,versicolor
49,79,5.7,2.6,3.5,1.0,versicolor
50,80,5.5,2.4,3.8,1.1,versicolor
51,81,5.5,2.4,3.7,1.0,versicolor
52,82,5.8,2.7,3.9,1.2,versicolor
53,83,6.0,2.7,5.1,1.6,versicolor
54,84,5.4,3.0,4.5,1.5,versicolor
55,85,6.0,3.4,4.5,1.6,versicolor
56,86,6.7,3.1,4.7,1.5,versicolor
57,87,6.3,2.3,4.4,1.3,versicolor
58,88,5.6,3.0,4.1,1.3,versicolor
59,89,5.5,2.5,4.0,1.3,versicolor
60,90,5.5,2.6,4.4,1.2,versicolor
61,91,6.1,3.0,4.6,1.4,versicolor
62,92,5.8,2.6,4.0,1.2,versicolor
63,93,5.0,2.3,3.3,1.0,versicolor
64,94,5.6,2.7,4.2,1.3,versicolor
65,95,5.7,3.0,4.2,1.2,versicolor
66,96,5.7,2.9,4.2,1.3,versicolor
67,97,6.2,2.9,4.3,1.3,versicolor
68,98,5.1,2.5,3.0,1.1,versicolor
69,99,5.7,2.8,4.1,1.3,versicolor
70,100,6.3,3.3,6.0,2.5,virginica
71,101,5.8,2.7,5.1,1.9,virginica
72,102,7.1,3.0,5.9,2.1,virginica
73,103,6.3,2.9,5.6,1.8,virginica
74,104,6.5,3.0,5.8,2.2,virginica
75,105,7.6,3.0,6.6,2.1,virginica
76,106,4.9,2.5,4.5,1.7,virginica
77,107,7.3,2.9,6.3,1.8,virginica
78,108,6.7,2.5,5.8,1.8,virginica
79,109,7.2,3.6,6.1,2.5,virginica
80,110,6.5,3.2,5.1,2.0,virginica
81,111,6.4,2.7,5.3,1.9,virginica
82,112,6.8,3.0,5.5,2.1,virginica
83,113,5.7,2.5,5.0,2.0,virginica
84,114,5.8,2.8,5.1,2.4,virginica
85,115,6.4,3.2,5.3,2.3,virginica
86,116,6.5,3.0,5.5,1.8,virginica
87,117,7.7,3.8,6.7,2.2,virginica
88,118,7.7,2.6,6.9,2.3,virginica
89,119,6.0,2.2,5.0,1.5,virginica
90,120,6.9,3.2,5.7,2.3,virginica
91,121,5.6,2.8,4.9,2.0,virginica
92,122,7.7,2.8,6.7,2.0,virginica
93,123,6.3,2.7,4.9,1.8,virginica
94,124,6.7,3.3,5.7,2.1,virginica
95,125,7.2,3.2,6.0,1.8,virginica
96,126,6.2,2.8,4.8,1.8,virginica
97,127,6.1,3.0,4.9,1.8,virginica
98,128,6.4,2.8,5.6,2.1,virginica
99,129,7.2,3.0,5.8,1.6,virginica
100,130,7.4,2.8,6.1,1.9,virginica
101,131,7.9,3.8,6.4,2.0,virginica
102,132,6.4,2.8,5.6,2.2,virginica
103,133,6.3,2.8,5.1,1.5,virginica
104,134,6.1,2.6,5.6,1.4,virginica
105,135,7.7,3.0,6.1,2.3,virginica
106,136,6.3,3.4,5.6,2.4,virginica
107,137,6.4,3.1,5.5,1.8,virginica
108,138,6.0,3.0,4.8,1.8,virginica
109,139,6.9,3.1,5.4,2.1,virginica
110,140,6.7,3.1,5.6,2.4,virginica
111,141,6.9,3.1,5.1,2.3,virginica
112,142,5.8,2.7,5.1,1.9,virginica
113,143,6.8,3.2,5.9,2.3,virginica
114,144,6.7,3.3,5.7,2.5,virginica
115,145,6.7,3.0,5.2,2.3,virginica
116,146,6.3,2.5,5.0,1.9,virginica
117,147,6.5,3.0,5.2,2.0,virginica
118,148,6.2,3.4,5.4,2.3,virginica
119,149,5.9,3.0,5.1,1.8,virginica
